Name,Notiz,Produzent,Herkunft,Einheit
Cedro,bio,Azienda Brancati,Sizilien,1 Stück
Grapefruit (halbe Kiste),bio,Azienda Brancati,Sizilien,4.5kg
Mandarinli (halbe Kiste),bio,Azienda Brancati,Sizilien,2.5kg 
"Orangen, Tarocco (halbe Kiste)",bio,Azienda Brancati,Sizilien,4.5kg
Zitronen (halbe Kiste),bio,Azienda Brancati,Sizilien,2.5kg
"Fisch, Bachforelle, ganz & ausgenommen",Kühlkette beachten,Fischzucht Bremgarten,Bremgarten,ca. 280g
"Fisch, Lachsforelle, Filet mit Haut",Kühlkette beachten,Fischzucht Bremgarten,Bremgarten,ca. 250g
"Fisch, Lachsforelle, ganz & ausgenommen",Kühlkette beachten,Fischzucht Bremgarten,Bremgarten,ca. 600g
"Fisch, Lachsforelle, Graved",Kühlkette beachten,Fischzucht Bremgarten,Bremgarten,ca. 200g
"Fisch, Lachsforelle, gross, ganz & ausgenommen",Kühlkette beachten,Fischzucht Bremgarten,Bremgarten,ca. 2000g
"Fisch, Lachsforelle, kalt geräuchert",Kühlkette beachten,Fischzucht Bremgarten,Bremgarten,ca. 160g
"Fisch, Saibling, geräuchert",Kühlkette beachten,Fischzucht Bremgarten,Bremgarten,ca. 80g
"Äpfel, Boskop (säuerlich)","bio, mit Hühnern unterm Baum",Fondlihof,Dietikon,3kg
"Äpfel, Galiwa (süss)","bio, mit Hühnern unterm Baum",Fondlihof,Dietikon,3kg
"Äpfel, Topaz (süss-säuerlich)","bio, mit Hühnern unterm Baum",Fondlihof,Dietikon,3kg
"Käse, Schwarzer Peter ","Hartkäse, rezent",Sennerei Niderhus,Züricher Oberland,250g
"Käse, Alpkäse (Geissenmilch)",sehr würzig,Madame Fromage,Tessin,250g
"Käse, Alpkäse (Kuhmilch, Sélection de Christine)",Vertraut der Käsefrau!,Madame Fromage,"Schweiz, wechselnd",250g
"Käse, Fondue Mischung (moitié moitié)",der eine Klassiker,Madame Fromage,Fribourg,400g
"Käse, Gommerfee ","Camembert, bio",Madame Fromage,Wallis,1 Stück
"Käse, Gouda, 2 Jährig",Geheimtipp,Madame Fromage,Holland,250g
"Käse, Raclette",der andere Klassiker,Madame Fromage,Wallis,250g
"Käse,immentaler Alpkäse, alt",zum Reiben geeignet,Madame Fromage,Bern,250g
"Butter, Heumilch","gefroren, hält nach dem Auftauen mind. 3 Wochen",Sennerei Niderhus,Züricher Oberland,200g
"Käse, Bachtelkäse ","Halbhart, mild",Sennerei Niderhus,Züricher Oberland,250g
Dinkel-Seitan,CH-bio,Tofurei Engel,Widen,200g
Okara,"bio (Knospe) / für veganes Tatar, Backwaren oder Bratlinge.",Tofurei Engel,Widen,250g
Soja Paneer,bio (Knospe),Tofurei Engel,Widen,200g
"Tofu, geräuchert",bio (Knospe),Tofurei Engel,Widen,110g
"Tofu, nature",bio (Knospe),Tofurei Engel,Widen,190g
"Tofu, nature (Block)",bio (Knospe),Tofurei Engel,Widen,1kg
